				Velocity Center-point Mean mm/s	Cruising Frequency	Cruising Cumulative Duration s	Bursting Frequency	Bursting Cumulative Duration s	Freezing  Frequency	Freezing  Cumulative Duration s	Turn angle Center-point / relative Mean deg	Meander Center-point / relative Mean deg/mm	Angular velocity Center-point / relative Mean deg/s	Distance moved Center-point Total mm
Control	Trial     6	B5	0:34:00-0:35:00	5.17372	212	21	0	0	211	39	1.03594	384.253	25.8985	310.423
Control	Trial     6	B5	0:35:00-0:36:00	3.26248	83	10.52	0	0	84	49.4	7.89298	475.312	197.324	195.488
Control	Trial     6	B5	0:36:00-0:37:00	1.1516	35	2.72	0	0	36	57.28	3.54513	393.587	88.6282	69.0958
Control	Trial     6	B5	0:37:00-0:38:00	3.6762	180	14.68	0	0	181	45.32	-1.66494	65.0684	-41.6235	220.572
Control	Trial     6	B5	0:38:00-0:39:00	4.56432	105	13.4	0	0	106	46.52	-6.88474	752.667	-172.119	273.494
Control	Trial     6	B5	0:39:00-0:40:00	0.74935	8	0.4	0	0	9	59.6	-0.212615	-187.7	-5.31536	44.961
Control	Trial     6	B5	0:40:00-0:41:00	0.656995	0	0	0	0	2	59.92	-3.86839	-177.686	-96.7098	39.3671
Control	Trial     6	B5	0:41:00-0:42:00	1.36428	40	2.8	0	0	40	57.2	-0.0955531	32.3665	-2.38883	81.8569
Control	Trial     6	B5	0:42:00-0:43:00	0.703944	8	0.36	0	0	8	59.64	3.47146	499.635	86.7866	42.2366
Control	Trial     6	B5	0:43:00-0:44:00	1.02613	23	1.52	0	0	25	58.4	1.85042	268.18	46.2605	61.4859
Control	Trial     6	B5	0:44:00-0:45:00	1.92644	101	6.08	0	0	102	53.92	3.28907	680.597	82.2267	115.586
Control	Trial     6	B5	0:45:00-0:46:00	1.95095	110	7.12	0	0	111	52.88	1.0826	316.844	27.065	117.057
Control	Trial     6	B5	0:46:00-0:47:00	2.02114	105	6.8	0	0	106	53.12	2.12782	324.822	53.1955	121.107
Control	Trial     6	B5	0:47:00-0:48:00	1.83037	97	5.72	0	0	98	54.28	-0.742271	93.7859	-18.5568	109.822
Control	Trial     6	B5	0:48:00-0:49:00	2.03318	113	6.84	0	0	115	53.08	0.229329	8.65803	5.73323	121.828
Control	Trial     6	B5	0:49:00-0:50:00	2.19964	122	8.16	0	0	123	51.84	-1.37541	-114.334	-34.3852	131.979
Control	Trial     6	C2	0:00:00-0:01:00	1.86766	34	2.92	0	0	34	49.6	-3.24351	-593.593	-81.0878	98.0893
Control	Trial     6	C2	0:01:00-0:02:00	2.15498	57	4.4	0	0	66	54	-1.1143	-197.456	-27.8576	125.851
Control	Trial     6	C2	0:02:00-0:03:00	0.887193	8	0.52	0	0	9	59.48	-4.30586	381.325	-107.647	53.2316
Control	Trial     6	C2	0:03:00-0:04:00	1.0855	16	1.04	0	0	18	58.88	-1.1906	-16.3525	-29.7649	65.0429
Control	Trial     6	C2	0:04:00-0:05:00	1.41738	46	2.64	0	0	47	57.36	-2.06418	-444.448	-51.6045	85.043
Control	Trial     6	C2	0:05:00-0:06:00	1.8453	60	4.52	0	0	61	55.48	0.764233	-153.967	19.1058	110.718
Control	Trial     6	C2	0:06:00-0:07:00	1.83283	61	4.2	0	0	62	55.72	-0.552511	-5.47435	-13.8128	109.823
Control	Trial     6	C2	0:07:00-0:08:00	1.8168	69	4.48	0	0	69	55.52	0.0131086	-100.058	0.327715	109.008
Control	Trial     6	C2	0:08:00-0:09:00	1.92253	69	4.92	0	0	71	55	2.89608	-18.3489	72.4019	115.198
Control	Trial     6	C2	0:09:00-0:10:00	2.14496	80	5.4	0	0	81	54.6	-1.66381	-172.451	-41.5952	128.697
Control	Trial     6	C2	0:10:00-0:11:00	4.58347	60	9.84	0	0	61	50.16	-0.160925	87.3732	-4.02311	275.008
Control	Trial     6	C2	0:11:00-0:12:00	0.969554	0	0	0	0	2	59.92	-5.523	299.313	-138.075	58.0957
Control	Trial     6	C2	0:12:00-0:13:00	0.968818	0	0	0	0	1	60	-12.3738	-522.414	-309.346	58.1291
Control	Trial     6	C2	0:13:00-0:14:00	1.33034	36	1.64	0	0	37	58.36	-4.34644	-61.4846	-108.661	79.8202
Control	Trial     6	C2	0:14:00-0:15:00	1.82457	83	4.48	0	0	85	55.44	0.747843	-370.699	18.6961	109.328
Control	Trial     6	C2	0:15:00-0:16:00	1.72708	76	4.32	0	0	77	55.68	-2.77417	17.5903	-69.3542	103.625
Control	Trial     6	C2	0:16:00-0:17:00	1.47001	57	2.88	0	0	59	57.04	1.50635	-657.385	37.6587	88.083
Control	Trial     6	C2	0:17:00-0:18:00	1.44919	58	3.16	0	0	59	56.84	-2.98759	285.739	-74.6898	86.9517
Control	Trial     6	C2	0:18:00-0:19:00	1.00891	17	0.84	0	0	18	59.16	1.70009	-152.108	42.5023	60.5349
Control	Trial     6	C2	0:19:00-0:20:00	1.23005	38	1.84	0	0	40	58.08	-1.00785	65.5661	-25.1962	73.7045
Control	Trial     6	C2	0:20:00-0:21:00	3.77408	109	12.16	0	0	110	47.84	-3.13247	-451.644	-78.3118	226.445
Control	Trial     6	C2	0:21:00-0:22:00	5.28252	166	18.68	0	0	166	41.32	0.20269	-127.45	5.06726	316.951
Control	Trial     6	C2	0:22:00-0:23:00	4.54943	120	13.72	0	0	121	46.2	-2.6785	19.0927	-66.9626	272.602
Control	Trial     6	C2	0:23:00-0:24:00	3.77912	108	11.92	0	0	109	48.08	1.26866	105.427	31.7165	226.747
Control	Trial     6	C2	0:24:00-0:25:00	0.996158	22	1	0	0	24	58.92	-1.06167	17.167	-26.5417	59.6898
Control	Trial     6	C2	0:25:00-0:26:00	1.07311	29	1.44	0	0	30	58.56	-0.621086	54.9525	-15.5272	64.3864
Control	Trial     6	C2	0:26:00-0:27:00	1.27524	37	2.6	0	0	38	57.4	-3.86544	-1003.66	-96.636	76.5146
Control	Trial     6	C2	0:27:00-0:28:00	1.24572	37	2.64	0	0	39	57.28	-0.495524	-189.815	-12.3881	74.6433
Control	Trial     6	C2	0:28:00-0:29:00	1.37996	39	2.52	0	0	40	57.48	2.40697	-444.848	60.1743	82.7977
Control	Trial     6	C2	0:29:00-0:30:00	1.78704	68	4.4	0	0	69	55.6	-1.54265	61.3172	-38.5661	107.223
Control	Trial     6	C2	0:30:00-0:31:00	4.72184	48	8.68	0	0	48	51.24	2.358	-489.807	58.9501	282.932
Control	Trial     6	C2	0:31:00-0:32:00	1.00476	10	1	0	0	11	59	0.692571	332.212	17.3143	60.2853
Control	Trial     6	C2	0:32:00-0:33:00	0.820045	1	0.04	0	0	3	59.88	-2.89773	-358.406	-72.4432	49.1371
Control	Trial     6	C2	0:33:00-0:34:00	1.14531	20	1.2	0	0	21	58.8	3.53847	213.951	88.4618	68.7189
Control	Trial     6	C2	0:34:00-0:35:00	0.873199	6	0.4	0	0	7	59.6	-0.609686	-278.929	-15.2422	52.3919
Control	Trial     6	C2	0:35:00-0:36:00	1.18315	40	1.88	0	0	42	58.04	-2.82207	-498.15	-70.5517	70.8944
Control	Trial     6	C2	0:36:00-0:37:00	1.38235	45	2.6	0	0	45	57.4	-0.223024	-117.69	-5.57561	82.9412
Control	Trial     6	C2	0:37:00-0:38:00	1.32367	47	2.6	0	0	48	57.4	3.29189	312.662	82.2973	79.4202
Control	Trial     6	C2	0:38:00-0:39:00	1.28935	46	2.76	0	0	48	57.16	3.19535	533.878	79.8838	77.258
Control	Trial     6	C2	0:39:00-0:40:00	0.948548	14	0.8	0	0	15	59.2	5.5208	213.133	138.02	56.9129
Control	Trial     6	C2	0:40:00-0:41:00	5.06598	143	16.16	0	0	145	43.76	1.03542	57.4771	25.8855	303.553
Control	Trial     6	C2	0:41:00-0:42:00	1.5159	14	2.52	0	0	15	57.48	-1.65795	-570.739	-41.4486	90.9543
Control	Trial     6	C2	0:42:00-0:43:00	0.827811	0	0	0	0	1	60	3.84838	-618.314	96.2094	49.6686
Control	Trial     6	C2	0:43:00-0:44:00	0.911243	5	0.2	0	0	7	59.72	-0.203618	23.3986	-5.09045	54.6017
Control	Trial     6	C2	0:44:00-0:45:00	1.3036	43	2.48	0	0	44	57.52	-6.32155	-723.232	-158.039	78.2159
Control	Trial     6	C2	0:45:00-0:46:00	1.77002	53	4.08	0	0	54	55.92	-1.01486	-378.207	-25.3715	106.201
Control	Trial     6	C2	0:46:00-0:47:00	2.32757	71	6.84	0	0	73	53.08	-0.986828	-368.175	-24.6707	139.468
Control	Trial     6	C2	0:47:00-0:48:00	4.86382	116	14.6	0	0	116	45.4	-2.02084	-350.671	-50.5209	291.829
Control	Trial     6	C2	0:48:00-0:49:00	3.45928	73	9.36	0	0	73	50.56	2.64883	-169.899	66.2207	207.28
Control	Trial     6	C2	0:49:00-0:50:00	5.23093	124	16.36	0	0	123	43.64	-3.18245	-113.65	-79.5613	313.856
Control	Trial     7	A1	0:00:00-0:01:00	1.24294	3	0.12	0	0	5	59.64	-5.3238	-148.096	-133.095	74.2784
Control	Trial     7	A1	0:01:00-0:02:00	1.5352	2	0.08	0	0	3	59.92	-1.80287	-116.847	-45.0718	92.1121
Control	Trial     7	A1	0:02:00-0:03:00	1.35285	1	0.04	0	0	2	59.96	-0.676632	619.116	-16.9158	81.171
Control	Trial     7	A1	0:03:00-0:04:00	1.02247	0	0	0	0	2	59.92	7.62227	192.242	190.557	61.2664
Control	Trial     7	A1	0:04:00-0:05:00	1.01274	0	0	0	0	1	60	-1.01465	-501.365	-25.3663	60.7645
Control	Trial     7	A1	0:05:00-0:06:00	1.38354	9	1.6	0	0	10	58.4	6.50037	536.923	162.509	83.0126
Control	Trial     7	A1	0:06:00-0:07:00	0.689097	10	0.72	0	0	12	59.2	1.89218	-25.4032	47.3044	41.2907
Control	Trial     7	A1	0:07:00-0:08:00	0.615123	2	0.08	0	0	3	59.92	-2.39541	-574.181	-59.8852	36.9074
Control	Trial     7	A1	0:08:00-0:09:00	0.964485	14	1.8	0	0	16	58.12	-3.41723	-266.847	-85.4307	57.792
Control	Trial     7	A1	0:09:00-0:10:00	4.67693	94	13.28	0	0	95	46.72	-0.478907	-10.0359	-11.9727	280.616
Control	Trial     7	A1	0:10:00-0:11:00	3.7703	60	8.36	0	0	60	51.64	-3.31007	2.78035	-82.7517	226.218
Control	Trial     7	A1	0:11:00-0:12:00	1.80035	19	2.24	0	0	21	57.68	-0.403425	-45.7803	-10.0856	107.877
Control	Trial     7	A1	0:12:00-0:13:00	3.9508	38	5.68	0	0	39	54.32	3.79048	444.348	94.7621	237.048
Control	Trial     7	A1	0:13:00-0:14:00	1.67882	22	2.24	0	0	23	57.76	1.1761	544.907	29.4024	100.729
Control	Trial     7	A1	0:14:00-0:15:00	1.04867	1	0.04	0	0	3	59.88	4.44465	22.1132	111.116	62.8361
Control	Trial     7	A1	0:15:00-0:16:00	1.16773	12	0.84	0	0	13	59.16	3.17015	33.1057	79.2537	70.0636
Control	Trial     7	A1	0:16:00-0:17:00	0.834232	18	1.12	0	0	19	58.8	5.59665	760.611	139.916	49.9872
Control	Trial     7	A1	0:17:00-0:18:00	0.591247	2	0.08	0	0	3	59.92	-4.4186	-609.463	-110.465	35.4748
Control	Trial     7	A1	0:18:00-0:19:00	2.64368	13	3	0	0	13	57	4.44042	-407.402	111.011	158.621
Control	Trial     7	A1	0:19:00-0:20:00	3.71856	26	5.28	0	0	28	54.64	3.74639	269.008	93.6598	222.816
Control	Trial     7	A1	0:20:00-0:21:00	0.818512	13	1	0	0	14	59	-4.56944	-323.388	-114.236	49.1107
Control	Trial     7	A1	0:21:00-0:22:00	0.536074	0	0	0	0	1	60	-2.85295	207.995	-71.3238	32.1644
Control	Trial     7	A1	0:22:00-0:23:00	0.531356	0	0	0	0	2	59.92	-0.0647591	119.608	-1.61898	31.8388
Control	Trial     7	A1	0:23:00-0:24:00	0.507761	0	0	0	0	1	60	3.58332	391.343	89.5831	30.4657
Control	Trial     7	A1	0:24:00-0:25:00	0.509281	0	0	0	0	2	59.92	-3.35482	-205.051	-83.8704	30.5161
Control	Trial     7	A1	0:25:00-0:26:00	1.14491	12	1.08	0	0	13	58.92	-1.63732	237.742	-40.9331	68.6945
Control	Trial     7	A1	0:26:00-0:27:00	0.835836	11	0.92	0	0	12	59.08	2.27659	395.131	56.9149	50.1502
Control	Trial     7	A1	0:27:00-0:28:00	4.39473	101	13.04	0	0	103	46.88	-3.38832	-199.774	-84.7079	263.332
Control	Trial     7	A1	0:28:00-0:29:00	6.23624	132	19.52	0	0	131	40.48	-0.287364	-33.0498	-7.1841	374.174
Control	Trial     7	A1	0:29:00-0:30:00	6.34095	155	20.76	0	0	154	39.24	-2.86526	-330.888	-71.6316	380.457
Control	Trial     7	A1	0:30:00-0:31:00	4.01472	88	10.52	0	0	89	49.4	2.74364	-46.169	68.5909	240.562
Control	Trial     7	A1	0:31:00-0:32:00	1.32622	35	2.08	0	0	36	57.92	-6.00433	-579.736	-150.108	79.5732
Control	Trial     7	A1	0:32:00-0:33:00	0.979356	9	0.4	0	0	11	59.52	-2.71085	-96.0627	-67.7712	58.683
Control	Trial     7	A1	0:33:00-0:34:00	4.41053	28	5.04	0	0	28	54.96	-4.71805	-231.009	-117.951	264.632
Control	Trial     7	A1	0:34:00-0:35:00	1.05514	7	0.88	0	0	8	59.12	-1.16321	3.97158	-29.0804	63.3081
Control	Trial     7	A1	0:35:00-0:36:00	3.18228	56	5.92	0	0	58	54	3.50399	105.988	87.5998	190.682
Control	Trial     7	A1	0:36:00-0:37:00	0.598553	1	0.04	0	0	2	59.96	-3.0142	-320.857	-75.3549	35.9132
Control	Trial     7	A1	0:37:00-0:38:00	0.553246	0	0	0	0	1	60	-7.51465	-534.168	-187.866	33.1948
Control	Trial     7	A1	0:38:00-0:39:00	0.57803	0	0	0	0	2	59.92	-7.59687	-301.425	-189.922	34.6356
Control	Trial     7	A1	0:39:00-0:40:00	3.77263	21	4.72	0	0	22	55.28	2.18234	646.777	54.5585	226.358
Control	Trial     7	A1	0:40:00-0:41:00	0.979653	13	1.56	0	0	14	58.36	-2.35018	50.5417	-58.7545	58.7008
Control	Trial     7	A1	0:41:00-0:42:00	2.72924	77	8.04	0	0	76	51.96	-4.17269	-47.186	-104.317	163.755
Control	Trial     7	A1	0:42:00-0:43:00	4.6519	130	14.76	0	0	131	45.24	1.86524	891.651	46.6309	279.114
Control	Trial     7	A1	0:43:00-0:44:00	3.74836	130	12.84	0	0	132	47.08	-2.56199	-118.309	-64.0499	224.602
Control	Trial     7	A1	0:44:00-0:45:00	2.96938	85	8.28	0	0	86	51.72	1.49148	170.532	37.287	178.163
Control	Trial     7	A1	0:45:00-0:46:00	4.02881	124	12.64	0	0	125	47.36	-2.07722	-69.643	-51.9306	241.729
Control	Trial     7	A1	0:46:00-0:47:00	3.4502	134	12	0	0	134	47.92	-4.62656	-172.839	-115.664	206.736
Control	Trial     7	A1	0:47:00-0:48:00	3.29046	131	11.68	0	0	131	48.32	-5.39829	-259.419	-134.957	197.427
Control	Trial     7	A1	0:48:00-0:49:00	3.61985	122	11.6	0	0	123	48.32	3.56005	290.99	89.0012	216.901
Control	Trial     7	A1	0:49:00-0:50:00	3.98462	83	11.2	0	0	84	48.8	-0.689995	-116.53	-17.2499	239.077
Control	Trial     7	A3	0:00:00-0:01:00	0.538288	0	0	0	0	2	59.76	-2.50754	16.9325	-62.6884	32.1681
Control	Trial     7	A3	0:01:00-0:02:00	0.552662	0	0	0	0	1	60	1.1781	3309.54	29.4524	33.1597
Control	Trial     7	A3	0:02:00-0:03:00	0.504937	0	0	0	0	1	60	-3.76261	4045.79	-94.0653	30.2962
Control	Trial     7	A3	0:03:00-0:04:00	0.510237	0	0	0	0	2	59.92	-2.04786	-278.844	-51.1966	30.5734
Control	Trial     7	A3	0:04:00-0:05:00	0.566649	2	0.12	0	0	3	59.88	4.21944	-288.263	105.486	33.999
Control	Trial     7	A3	0:05:00-0:06:00	3.05417	52	7.24	0	0	53	52.76	-1.55502	-394.343	-38.8755	183.25
Control	Trial     7	A3	0:06:00-0:07:00	7.3764	169	23.12	0	0	171	36.8	1.38883	330.446	34.7208	441.994
Control	Trial     7	A3	0:07:00-0:08:00	5.28827	203	15.68	0	0	204	44.32	-1.42107	-127.919	-35.5267	317.296
Control	Trial     7	A3	0:08:00-0:09:00	6.2379	221	18.56	0	0	222	41.36	-6.36978	-19.3732	-159.244	373.775
Control	Trial     7	A3	0:09:00-0:10:00	7.19497	238	22.88	0	0	238	37.12	-5.61718	-45.0527	-140.429	431.698
Control	Trial     7	A3	0:10:00-0:11:00	5.67833	98	14.16	0	0	98	45.84	-0.682709	-119.293	-17.0677	340.7
Control	Trial     7	A3	0:11:00-0:12:00	1.81963	16	2.92	0	0	18	57	-2.29643	-640.303	-57.4108	109.032
Control	Trial     7	A3	0:12:00-0:13:00	4.13884	73	10.28	0	0	74	49.72	-0.0148709	128.793	-0.371772	248.331
Control	Trial     7	A3	0:13:00-0:14:00	2.83639	57	6.64	0	0	58	53.36	-1.70586	-358.283	-42.6465	170.184
Control	Trial     7	A3	0:14:00-0:15:00	0.759906	0	0	0	0	2	59.92	-0.232409	-439.854	-5.81023	45.5336
Control	Trial     7	A3	0:15:00-0:16:00	0.708495	0	0	0	0	1	60	-0.843831	-879.724	-21.0958	42.5097
Control	Trial     7	A3	0:16:00-0:17:00	0.758601	1	0.04	0	0	3	59.88	0.732807	83.3664	18.3202	45.4553
Control	Trial     7	A3	0:17:00-0:18:00	2.56043	40	5.8	0	0	41	54.2	-0.538402	508.131	-13.46	153.626
Control	Trial     7	A3	0:18:00-0:19:00	2.59033	82	6.88	0	0	83	53.12	0.400946	225.536	10.0236	155.42
Control	Trial     7	A3	0:19:00-0:20:00	5.79701	228	20.96	0	0	230	38.96	-2.87664	-8.13765	-71.9159	347.357
Control	Trial     7	A3	0:20:00-0:21:00	1.84599	64	4.52	0	0	65	55.48	2.28427	-65.4833	57.1069	110.76
Control	Trial     7	A3	0:21:00-0:22:00	1.87647	34	4.04	0	0	35	55.96	-2.43722	-121.955	-60.9305	112.588
Control	Trial     7	A3	0:22:00-0:23:00	1.07791	9	0.56	0	0	11	59.36	0.794806	111.786	19.8702	64.5886
Control	Trial     7	A3	0:23:00-0:24:00	4.869	101	13	0	0	101	47	-3.63278	-88.4934	-90.8194	292.14
Control	Trial     7	A3	0:24:00-0:25:00	3.46492	96	10.2	0	0	98	49.72	5.09823	390.964	127.456	207.618
Control	Trial     7	A3	0:25:00-0:26:00	2.7045	84	8.28	0	0	85	51.72	-2.56405	-258.297	-64.1012	162.27
Control	Trial     7	A3	0:26:00-0:27:00	5.07223	145	16	0	0	146	44	2.31895	211.877	57.9739	304.334
Control	Trial     7	A3	0:27:00-0:28:00	6.89111	147	21.48	0	0	147	38.44	-0.0358228	13.9172	-0.895569	412.915
Control	Trial     7	A3	0:28:00-0:29:00	5.64422	138	18.04	0	0	139	41.96	-1.82134	-26.7347	-45.5334	338.653
Control	Trial     7	A3	0:29:00-0:30:00	5.36134	147	16.68	0	0	148	43.32	1.99399	99.3534	49.8496	321.681
Control	Trial     7	A3	0:30:00-0:31:00	3.57126	75	9.48	0	0	76	50.44	3.92019	150.83	98.0047	213.99
Control	Trial     7	A3	0:31:00-0:32:00	4.03638	108	11.92	0	0	109	48.08	-3.35556	-253.411	-83.8891	242.183
Control	Trial     7	A3	0:32:00-0:33:00	4.66372	147	14.68	0	0	148	45.24	2.48318	74.1767	62.0796	279.45
Control	Trial     7	A3	0:33:00-0:34:00	5.28587	155	16.2	0	0	156	43.8	4.70707	277.835	117.677	317.152
Control	Trial     7	A3	0:34:00-0:35:00	6.81397	207	24.04	0	0	208	35.96	0.861377	1.27501	21.5344	408.838
Control	Trial     7	A3	0:35:00-0:36:00	4.09546	116	13.32	0	0	118	46.6	2.12233	-630.147	53.0582	245.4
Control	Trial     7	A3	0:36:00-0:37:00	1.49911	28	2.24	0	0	29	57.76	-2.42611	-147.899	-60.6527	89.9464
Control	Trial     7	A3	0:37:00-0:38:00	1.61125	32	2.36	0	0	33	57.64	-0.474012	-129.455	-11.8503	96.6747
Control	Trial     7	A3	0:38:00-0:39:00	5.51972	188	18.84	0	0	187	41.08	1.31421	-16.897	32.8553	330.741
Control	Trial     7	A3	0:39:00-0:40:00	6.2295	192	20.44	0	0	193	39.56	-0.0480577	1.64579	-1.20144	373.77
Control	Trial     7	A3	0:40:00-0:41:00	5.98069	158	18.96	0	0	159	40.96	-1.0805	5.89135	-27.0124	358.363
Control	Trial     7	A3	0:41:00-0:42:00	5.38642	141	17.2	0	0	142	42.8	-0.369321	150.854	-9.23302	323.185
Control	Trial     7	A3	0:42:00-0:43:00	4.93555	122	14.84	0	0	123	45.16	2.51051	207.675	62.7628	296.133
Control	Trial     7	A3	0:43:00-0:44:00	8.3497	156	24.32	0	0	158	35.6	-0.662015	-3.90155	-16.5504	500.314
Control	Trial     7	A3	0:44:00-0:45:00	8.11562	152	24.76	0	0	152	35.24	-0.429431	132.285	-10.7358	486.937
Control	Trial     7	A3	0:45:00-0:46:00	7.39804	155	21.16	0	0	155	38.84	0.0478619	28.5099	1.19655	443.882
Control	Trial     7	A3	0:46:00-0:47:00	6.40652	151	20.24	0	0	152	39.68	2.95859	70.8626	73.9648	383.879
Control	Trial     7	A3	0:47:00-0:48:00	6.24663	169	20.48	0	0	169	39.52	-0.872663	-160.42	-21.8166	374.798
Control	Trial     7	A3	0:48:00-0:49:00	6.94603	172	22.08	0	0	173	37.84	0.935285	322.846	23.3821	416.206
Control	Trial     7	A3	0:49:00-0:50:00	8.1602	148	23.64	0	0	148	36.36	-0.445678	-260.511	-11.142	489.612
Control	Trial     7	A6	0:00:00-0:01:00	0.869407	0	0	0	0	2	59.76	0.472483	285.334	11.8121	51.9558
Control	Trial     7	A6	0:01:00-0:02:00	0.844663	0	0	0	0	1	60	7.01466	668.267	175.367	50.6798
Control	Trial     7	A6	0:02:00-0:03:00	0.807666	0	0	0	0	1	60	-2.33516	132.252	-58.379	48.46
Control	Trial     7	A6	0:03:00-0:04:00	0.801818	0	0	0	0	2	59.92	-1.69146	-31.0377	-42.2865	48.0449
Control	Trial     7	A6	0:04:00-0:05:00	1.07476	18	1.24	0	0	19	58.76	-0.938461	-363.076	-23.4615	64.4857
Control	Trial     7	A6	0:05:00-0:06:00	2.00029	74	5.2	0	0	75	54.8	0.671578	-126.174	16.7895	120.018
Control	Trial     7	A6	0:06:00-0:07:00	2.51491	91	7.04	0	0	92	52.88	-2.72608	49.1299	-68.1519	150.694
Control	Trial     7	A6	0:07:00-0:08:00	3.45692	171	13.72	0	0	171	46.28	0.762251	-169.228	19.0563	207.415
Control	Trial     7	A6	0:08:00-0:09:00	4.36389	178	16.6	0	0	178	43.32	1.72538	237.61	43.1346	261.484
Control	Trial     7	A6	0:09:00-0:10:00	5.53625	228	21.76	0	0	229	38.24	-0.635997	297.417	-15.8999	332.175
Control	Trial     7	A6	0:10:00-0:11:00	3.748	187	14.56	0	0	188	45.44	-3.07675	84.2261	-76.9187	224.88
Control	Trial     7	A6	0:11:00-0:12:00	2.15988	116	7.72	0	0	118	52.2	-0.367835	195.132	-9.19588	129.42
Control	Trial     7	A6	0:12:00-0:13:00	2.82531	169	12.16	0	0	170	47.84	1.66225	242.099	41.5562	169.519
Control	Trial     7	A6	0:13:00-0:14:00	3.02971	192	12.76	0	0	193	47.24	0.842852	130.748	21.0713	181.783
Control	Trial     7	A6	0:14:00-0:15:00	2.79213	188	12.88	0	0	190	47.04	-1.83059	-517.88	-45.7648	167.304
Control	Trial     7	A6	0:15:00-0:16:00	3.07526	184	14.04	0	0	185	45.96	1.71661	405.615	42.9151	184.515
Control	Trial     7	A6	0:16:00-0:17:00	3.31264	197	14.44	0	0	198	45.48	0.334879	-88.6209	8.37198	198.494
Control	Trial     7	A6	0:17:00-0:18:00	2.5602	111	8.12	0	0	112	51.88	1.71479	-75.5436	42.8697	153.612
Control	Trial     7	A6	0:18:00-0:19:00	2.69979	130	8.8	0	0	131	51.2	1.86847	8.3283	46.7119	161.988
Control	Trial     7	A6	0:19:00-0:20:00	3.10578	145	9.76	0	0	147	50.16	-1.13795	-56.4617	-28.4487	186.098
Control	Trial     7	A6	0:20:00-0:21:00	2.74799	90	7.76	0	0	91	52.24	2.4591	108.224	61.4774	164.879
Control	Trial     7	A6	0:21:00-0:22:00	3.06103	106	8.84	0	0	107	51.16	-1.90325	-520.698	-47.5814	183.662
Control	Trial     7	A6	0:22:00-0:23:00	4.18398	137	12.6	0	0	138	47.32	1.19023	-78.2611	29.7559	250.704
Control	Trial     7	A6	0:23:00-0:24:00	3.96208	137	12.84	0	0	138	47.16	2.50136	113.534	62.5341	237.725
Control	Trial     7	A6	0:24:00-0:25:00	4.28762	146	14.16	0	0	148	45.76	-3.29328	46.2943	-82.332	256.914
Control	Trial     7	A6	0:25:00-0:26:00	4.10273	144	13.08	0	0	144	46.92	0.335774	126.352	8.39435	246.164
Control	Trial     7	A6	0:26:00-0:27:00	3.78846	140	12.12	0	0	139	47.88	-0.370509	130.506	-9.26273	227.308
Control	Trial     7	A6	0:27:00-0:28:00	5.03133	160	16.52	0	0	160	43.4	-0.569856	-242.68	-14.2464	301.477
Control	Trial     7	A6	0:28:00-0:29:00	5.13939	167	17.2	0	0	167	42.8	-0.612659	180.194	-15.3165	308.363
Control	Trial     7	A6	0:29:00-0:30:00	4.85262	167	15.92	0	0	167	44.08	-1.29508	5.23155	-32.377	291.157
Control	Trial     7	A6	0:30:00-0:31:00	2.59041	126	8.6	0	0	127	51.32	1.58384	131.725	39.5959	155.217
Control	Trial     7	A6	0:31:00-0:32:00	2.38446	105	6.96	0	0	105	53.04	-0.849368	-215.901	-21.2342	143.068
Control	Trial     7	A6	0:32:00-0:33:00	2.30902	104	6.96	0	0	105	52.96	-2.53755	-42.9617	-63.4387	138.356
Control	Trial     7	A6	0:33:00-0:34:00	2.37982	111	7.12	0	0	112	52.88	-3.04514	-95.4481	-76.1286	142.789
Control	Trial     7	A6	0:34:00-0:35:00	2.49048	113	7.36	0	0	113	52.64	-0.0740519	14.5436	-1.8513	149.429
Control	Trial     7	A6	0:35:00-0:36:00	2.84984	112	8.64	0	0	112	51.28	-5.10016	-100.808	-127.504	170.763
Control	Trial     7	A6	0:36:00-0:37:00	5.05134	152	15.32	0	0	152	44.68	-4.89722	-245.605	-122.43	303.081
Control	Trial     7	A6	0:37:00-0:38:00	5.11777	167	15.88	0	0	168	44.12	-1.70842	75.1527	-42.7106	307.066
Control	Trial     7	A6	0:38:00-0:39:00	6.029	183	19	0	0	183	40.92	2.93811	192.279	73.4526	361.257
Control	Trial     7	A6	0:39:00-0:40:00	6.26852	183	20.24	0	0	183	39.76	3.7547	108.117	93.8676	376.111
Control	Trial     7	A6	0:40:00-0:41:00	2.9399	94	8.04	0	0	94	51.88	2.85058	-149.532	71.2645	176.159
Control	Trial     7	A6	0:41:00-0:42:00	3.16538	102	8.92	0	0	102	51.08	1.30533	-823.776	32.6333	189.923
Control	Trial     7	A6	0:42:00-0:43:00	3.97482	127	11.72	0	0	127	48.28	-0.123317	-29.1552	-3.08293	238.489
Control	Trial     7	A6	0:43:00-0:44:00	4.27613	129	12.4	0	0	130	47.52	-3.42375	-47.7746	-85.5938	256.226
Control	Trial     7	A6	0:44:00-0:45:00	5.63891	155	17.4	0	0	156	42.6	-1.92273	-23.0358	-48.0681	338.335
Control	Trial     7	A6	0:45:00-0:46:00	5.57146	166	17.96	0	0	166	42.04	1.79902	249.784	44.9755	334.287
Control	Trial     7	A6	0:46:00-0:47:00	5.81092	177	18.48	0	0	179	41.44	-0.175315	174.942	-4.38286	348.191
Control	Trial     7	A6	0:47:00-0:48:00	5.46519	164	17.68	0	0	164	42.32	-1.0756	185.204	-26.8901	327.912
